id,value
id_0,5.1749603989847515
id_1,18.30621425352787
id_2,20.49121809418059
id_3,11.523942869805424
id_4,26.616056752306147
id_5,20.53134808176122
id_6,21.90655101879741
id_7,31.736468747068823
id_8,13.391674055111729
id_9,64.45646650291951
id_10,20.264568836159434
id_11,15.35857607736125
id_12,68.58947276926725
id_13,48.42811374745717
id_14,18.7023338241932
id_15,10.188595737466688
id_16,30.740362859820436
id_17,71.1322177635511
id_18,-4.130517391262462
id_19,18.235694016428667
id_20,38.57892227500776
id_21,71.31151972531329
id_22,7.410348162634055
id_23,18.717955330321416
id_24,14.937250260084555
id_25,36.71973669470532
id_26,17.96169700566268
id_27,75.78946287210539
id_28,12.309310248614473
id_29,56.29535173964958
id_30,25.11316086566151
id_31,4.610248674094024
id_32,2.4837705545150897
id_33,24.75942226132124
id_34,30.480280465591164
id_35,38.46393074642665
id_36,44.20231060933001
id_37,30.08683601986598
id_38,40.47367501574011
id_39,29.226479902317408
id_40,5.606456054343894
id_41,38.66601607878961
id_42,34.61021343187721
id_43,48.38969750738481
id_44,14.757247666944153
id_45,34.46682011087209
id_46,27.48310687418434
id_47,12.000879378154082
id_48,21.37803615160378
id_49,28.544403091663284
id_50,20.165513818411604
id_51,10.796678149746487
id_52,22.171035755750182
id_53,53.44626310935228
id_54,12.219581121609998
id_55,43.30096845517151
id_56,32.182335103285425
id_57,22.56721751457085
id_58,56.73951416554707
id_59,20.745052945295484
id_60,15.028854557473338
id_61,39.85530159038514
id_62,12.97534068072833
id_63,51.74165959283005
id_64,18.783369632539873
id_65,12.348752842777728
id_66,15.633623653541921
id_67,-0.0588714706850233
id_68,41.50801107307594
id_69,31.548747530655998
id_70,18.60425115754707
id_71,37.47681972488067
id_72,56.520390657623
id_73,6.587877193521937
id_74,12.229339737435026
id_75,5.203696404134703
id_76,47.927375103800586
id_77,13.020705685594649
id_78,17.11030169390361
id_79,20.603234531002037
id_80,21.28448156078459
id_81,38.692935290511784
id_82,30.020716675725865
id_83,88.76740666723545
id_84,35.98470023966826
id_85,26.756913553477233
id_86,23.963516843564406
id_87,32.74724282808305
id_88,22.189043755319915
id_89,20.992158853626563
id_90,29.55599431664543
id_91,40.99216886651776
id_92,8.625117809911538
id_93,32.32147180887793
id_94,46.598044365367635
id_95,22.88407082672351
id_96,31.51812972825165
id_97,11.1982334797661
id_98,28.5274366425296
id_99,0.2911506800896504
id_100,17.9669610795397
id_101,27.12416392947018
id_102,11.39823278065285
id_103,16.426426865673534
id_104,23.42526104692223
id_105,40.61608267056838
id_106,25.864125026560338
id_107,5.422736951672391
id_108,10.79492112225611
id_109,72.86213692992125
id_110,48.02283705948138
id_111,15.74680827690296
id_112,24.67041061417795
id_113,12.827793326536716
id_114,10.158057570240501
id_115,27.26922334202098
id_116,29.208738577932433
id_117,8.835339619930714
id_118,20.05108813712973
id_119,20.212333743764248
id_120,79.9060092987056
id_121,18.06161428826358
id_122,30.542809341304288
id_123,25.98079237772806
id_124,5.212577268164775
id_125,30.35569730585621
id_126,7.768322888914637
id_127,15.328268255393354
id_128,22.66636571769794
id_129,62.74205421109005
id_130,18.950780367988052
id_131,19.076355630838506
id_132,61.37157409163711
id_133,15.884562052629704
id_134,13.409418077705553
id_135,0.84877248361129
id_136,7.834996717304147
id_137,57.012829011796796
id_138,25.607996751813815
id_139,4.961704729242069
id_140,36.414879039062725
id_141,28.79000672197595
id_142,49.194120961976324
id_143,40.30686985573445
id_144,13.316180593982665
id_145,27.66101187522915
id_146,17.15802752436676
id_147,49.68726256929681
id_148,23.03027229160479
id_149,39.24093652484276
id_150,13.196753889412562
id_151,5.948893701039474
id_152,25.82160897630427
id_153,8.258634214291632
id_154,19.14632051722561
id_155,43.18248652651671
id_156,6.717843578093036
id_157,33.869615246810646
id_158,15.369937846981834
id_159,16.9390449735519
id_160,37.885336794634824
id_161,19.202484541054417
id_162,9.059504715654711
id_163,10.283399610648477
id_164,48.672447125698305
id_165,30.58771621323085
id_166,2.4774098975321914
id_167,12.811603937805941
id_168,70.32478980976462
id_169,14.840967694067011
id_170,68.86558756678863
id_171,42.741992444866284
id_172,24.0002615429202
id_173,23.420724860321435
id_174,61.672124435682406
id_175,25.49420284505919
id_176,19.004809786869053
id_177,34.886682881896846
id_178,9.402313398379732
id_179,29.520011314408013
id_180,14.573965885700478
id_181,9.125563143203564
id_182,52.81258399813192
id_183,45.03953799438962
id_184,17.452434679183266
id_185,38.4939352797143
id_186,27.038919092643795
id_187,65.58170967424583
id_188,7.037306380769589
id_189,52.71447713411569
id_190,38.20645933704972
id_191,21.16980105955784
id_192,30.247556879488414
id_193,2.7144229897163115
id_194,19.932932587640835
id_195,-3.41333233760389
id_196,32.44599940281314
id_197,10.582973029979929
id_198,21.775225707258432
id_199,62.46529206567794
id_200,24.132943687316484
id_201,26.201239647400943
id_202,63.7444772344029
id_203,2.8342977741290376
id_204,14.379246986978842
id_205,9.369850731753871
id_206,9.881166613595408
id_207,3.494945358972129
id_208,122.6080493792178
id_209,21.083513014480552
id_210,17.532220599455087
id_211,20.183098344597077
id_212,36.393132212281856
id_213,34.93515120529068
id_214,18.830312661458635
id_215,38.34455552272331
id_216,77.91663413807038
id_217,1.795323550888197
