id,value
id_0,5.823404777
id_1,14.60772884
id_2,20.36017436
id_3,7.921528401
id_4,23.85496592
id_5,19.23425003
id_6,21.65552425
id_7,25.95597908
id_8,14.91903399
id_9,49.44541055
id_10,11.20480391
id_11,10.88657141
id_12,52.84722346
id_13,44.86021825
id_14,21.09436784
id_15,13.02795078
id_16,26.70179829
id_17,54.94073944
id_18,3.739905974
id_19,17.46202967
id_20,34.90485897
id_21,57.9471473
id_22,8.677173507
id_23,16.29602757
id_24,13.7391919
id_25,33.68163635
id_26,14.37336532
id_27,64.18250766
id_28,8.428196266
id_29,44.07410117
id_30,18.6323587
id_31,10.54856177
id_32,1.802944726
id_33,17.16561789
id_34,24.83430472
id_35,32.08608156
id_36,35.96946533
id_37,26.58626464
id_38,32.62595627
id_39,31.21071737
id_40,6.978643357
id_41,32.99930379
id_42,28.76942098
id_43,41.2916289
id_44,14.58571406
id_45,31.57392888
id_46,21.9381829
id_47,12.20436091
id_48,23.31602322
id_49,28.58558051
id_50,15.06520948
id_51,6.170304798
id_52,23.15731729
id_53,41.28860981
id_54,13.84063476
id_55,30.95023244
id_56,30.59024289
id_57,19.25578023
id_58,50.9590217
id_59,19.51356572
id_60,11.14720897
id_61,36.88787117
id_62,14.48879139
id_63,42.47151359
id_64,13.24996003
id_65,16.33772768
id_66,12.97630852
id_67,3.60114192
id_68,37.09454587
id_69,25.26540739
id_70,18.60758226
id_71,34.67217967
id_72,51.4100219
id_73,5.90421959
id_74,14.30737222
id_75,5.148679924
id_76,33.01824743
id_77,13.40022685
id_78,19.99120568
id_79,17.52018439
id_80,18.84715602
id_81,25.69498001
id_82,17.3190251
id_83,75.99513226
id_84,30.48362316
id_85,24.60905252
id_86,19.17432012
id_87,30.20534995
id_88,19.30992271
id_89,18.22416111
id_90,25.23075776
id_91,33.60586711
id_92,4.92011803
id_93,32.72537114
id_94,37.2205865
id_95,13.81681387
id_96,23.68309794
id_97,14.08053099
id_98,22.45863329
id_99,4.336735943
id_100,15.76212441
id_101,23.32475864
id_102,15.81493311
id_103,16.04274353
id_104,20.06834915
id_105,35.19131885
id_106,24.13823832
id_107,9.022761283
id_108,9.383340339
id_109,63.57399651
id_110,38.96424808
id_111,15.61637417
id_112,24.13658528
id_113,14.30154596
id_114,11.97982383
id_115,23.27634292
id_116,24.22772508
id_117,8.384023213
id_118,16.90729292
id_119,16.89120026
id_120,57.351753
id_121,19.34526996
id_122,30.25414838
id_123,21.93155985
id_124,8.179259032
id_125,34.54402392
id_126,8.00690149
id_127,18.52069897
id_128,24.8963087
id_129,50.30534199
id_130,19.11182205
id_131,23.00517279
id_132,48.47854378
id_133,15.81087892
id_134,10.79659551
id_135,4.243048451
id_136,12.62748998
id_137,48.73773806
id_138,12.02805595
id_139,7.847746805
id_140,24.40589073
id_141,23.32305227
id_142,36.88377122
id_143,25.17506696
id_144,16.79885415
id_145,23.08004458
id_146,10.55069389
id_147,43.56339966
id_148,17.62472239
id_149,33.44894966
id_150,12.32248764
id_151,8.573400984
id_152,21.70934377
id_153,8.848731368
id_154,15.88730914
id_155,33.08040362
id_156,8.273480604
id_157,29.00445754
id_158,9.714949376
id_159,16.47276543
id_160,33.66273858
id_161,17.75233376
id_162,13.927829
id_163,7.818467802
id_164,39.90359094
id_165,24.28396764
id_166,4.952189337
id_167,13.56649232
id_168,50.47506898
id_169,11.91378962
id_170,50.8261487
id_171,31.79167717
id_172,25.38377605
id_173,17.28314705
id_174,48.00750876
id_175,18.38398447
id_176,20.51114266
id_177,30.56949976
id_178,10.72072834
id_179,28.24392193
id_180,14.71996969
id_181,10.71844488
id_182,42.40396893
id_183,42.62335807
id_184,14.32919091
id_185,25.9703082
id_186,20.73485212
id_187,56.44757726
id_188,9.970960755
id_189,45.20798216
id_190,34.88636292
id_191,15.45360483
id_192,24.21227391
id_193,2.91312914
id_194,18.16951222
id_195,3.110988955
id_196,31.50628601
id_197,11.20371453
id_198,17.77000239
id_199,52.63512076
id_200,23.52957055
id_201,23.70611692
id_202,53.03422356
id_203,10.91821831
id_204,9.889757236
id_205,11.46830778
id_206,7.096931479
id_207,3.903828939
id_208,102.1423437
id_209,17.67801565
id_210,13.8316981
id_211,13.32752187
id_212,31.166019
id_213,31.43085825
id_214,19.87000214
id_215,28.21000272
id_216,67.41175134
id_217,2.873010907
id_218,13.05840931
id_219,26.63107116
id_220,15.04064951
id_221,12.67369489
id_222,95.79956079
id_223,11.77746125
id_224,14.96646513
id_225,45.90951952
id_226,12.45668798
id_227,18.98702424
id_228,9.815910017
id_229,6.849032495
id_230,37.1464707
id_231,11.69336409
id_232,45.52485508
id_233,34.31486169
id_234,18.84111526
id_235,37.68615592
id_236,59.04291159
id_237,36.6269116
id_238,2.745868356
id_239,17.06759092
